Code,Name,IndexSED,DecileSED,IndexSEAD,DecileSEAD,IndexER,DecileER,IndexEO,DecileEO,Population
21270,Buloke (S),967,5,949,5,960,3,974,7,6201
21370,Campaspe (S),967,5,943,4,985,6,938,4,37061
21450,Cardinia (S),1021,8,996,8,1039,9,970,6,94128
21610,Casey (C),1004,8,991,8,1033,9,962,6,299301
21670,Central Goldfields (S),889,2,870,1,919,2,889,1,12995
21750,Colac-Otway (S),961,5,939,4,981,5,940,4,20972
21830,Corangamite (S),977,6,959,5,1000,7,969,6,16051
21890,Darebin (C),1004,8,1020,9,959,3,1053,9,146719
22110,East Gippsland (S),958,4,937,4,969,4,947,5,45040
22170,Frankston (C),1001,7,981,7,996,7,976,7,134143
22250,Gannawarra (S),957,4,934,4,972,4,936,4,10549
22310,Glen Eira (C),1074,10,1092,10,1021,9,1121,10,140875
22410,Glenelg (S),947,4,925,3,967,4,924,3,19557
22490,Golden Plains (S),1035,9,1004,8,1060,10,979,7,21688
22620,Greater Bendigo (C),981,6,961,6,975,5,970,6,110477
22670,Greater Dandenong (C),896,2,915,2,935,2,906,2,152050
22750,Greater Geelong (C),994,7,980,7,985,6,988,8,233429
22830,Greater Shepparton (C),948,4,937,4,960,3,943,4,63837
22910,Hepburn (S),995,7,979,7,994,6,1020,9,15330
22980,Hindmarsh (S),945,3,931,3,967,4,947,5,5721
23110,Hobsons Bay (C),1015,8,1020,9,998,7,1028,9,88778
23190,Horsham (RC),980,6,958,5,972,4,971,7,19642
23270,Hume (C),947,4,947,5,995,7,930,3,197376
23350,Indigo (S),1016,8,995,8,1020,8,1003,8,15952
23430,Kingston (C) (Vic.),1044,9,1042,9,1024,9,1046,9,151389
23670,Knox (C),1048,10,1032,9,1043,9,1018,9,154110
